country,iso3c,deaths,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
Norway,NOR,11,23,1.2802042552770434,37.83945378654331,0.48942703301831564
Norway,NOR,2,24,1.2361086493782294,37.83945378654331,0.48942703301831564
Norway,NOR,9,25,1.1894614835965234,37.83945378654331,0.48942703301831564
Norway,NOR,3,26,1.1403853997679285,37.83945378654331,0.48942703301831564
Norway,NOR,1,27,1.088155208314235,37.83945378654331,0.48942703301831564
Norway,NOR,16,28,1.0293312526855434,37.83945378654331,0.48942703301831564
Norway,NOR,1,29,0.9615504283003672,37.83945378654331,0.48942703301831564
Norway,NOR,5,30,0.8834336900679914,37.83945378654331,0.48942703301831564
Norway,NOR,7,31,0.7956504970291013,37.83945378654331,0.48942703301831564
Norway,NOR,5,32,0.6993241072336943,37.83945378654331,0.48942703301831564
Norway,NOR,2,33,0.596056534725922,37.83945378654331,0.48942703301831564
Norway,NOR,0,34,0.48942703301831564,37.83945378654331,0.48942703301831564
Panama,PAN,5,0,0.6588653687123252,39.50323603327178,1.4874154113947906
Panama,PAN,3,1,0.7272901518751209,39.50323603327178,1.4874154113947906
Panama,PAN,7,2,0.7876146978891438,39.50323603327178,1.4874154113947906
Panama,PAN,6,3,0.8382134162267519,39.50323603327178,1.4874154113947906
Panama,PAN,0,4,0.8819172483283952,39.50323603327178,1.4874154113947906
Panama,PAN,2,5,0.9224000154575357,39.50323603327178,1.4874154113947906
Panama,PAN,5,6,0.9622756236309865,39.50323603327178,1.4874154113947906
Panama,PAN,4,7,1.0004870448241499,39.50323603327178,1.4874154113947906
Panama,PAN,5,8,1.0361072308704398,39.50323603327178,1.4874154113947906
Panama,PAN,8,9,1.0690606765526582,39.50323603327178,1.4874154113947906
Panama,PAN,1,10,1.1015604875249163,39.50323603327178,1.4874154113947906
Panama,PAN,4,11,1.1362615147834834,39.50323603327178,1.4874154113947906
Panama,PAN,4,12,1.1747328080815829,39.50323603327178,1.4874154113947906
Panama,PAN,3,13,1.2161563228352474,39.50323603327178,1.4874154113947906
Panama,PAN,8,14,1.2585932552626842,39.50323603327178,1.4874154113947906
Panama,PAN,5,15,1.2984353028140716,39.50323603327178,1.4874154113947906
Panama,PAN,8,16,1.333744979729202,39.50323603327178,1.4874154113947906
Panama,PAN,7,17,1.3639348388452073,39.50323603327178,1.4874154113947906
Panama,PAN,1,18,1.3910529098371986,39.50323603327178,1.4874154113947906
Panama,PAN,8,19,1.415791316698568,39.50323603327178,1.4874154113947906
Panama,PAN,6,20,1.4381453824764625,39.50323603327178,1.4874154113947906
Panama,PAN,7,21,1.457472319650345,39.50323603327178,1.4874154113947906
Panama,PAN,4,22,1.4733797786544316,39.50323603327178,1.4874154113947906
Panama,PAN,6,23,1.4864911002209156,39.50323603327178,1.4874154113947906
Panama,PAN,10,24,1.4953429023237512,39.50323603327178,1.4874154113947906
Panama,PAN,5,25,1.4987632955321233,39.50323603327178,1.4874154113947906
Panama,PAN,5,26,1.4987672928201339,39.50323603327178,1.4874154113947906
Panama,PAN,8,27,1.4963825465222347,39.50323603327178,1.4874154113947906
Panama,PAN,5,28,1.492256078168462,39.50323603327178,1.4874154113947906
Panama,PAN,6,29,1.4874154113947906,39.50323603327178,1.4874154113947906
Austria,AUT,8,0,0.5994650796644251,61.308603870744726,0.9299431834001103
Austria,AUT,5,1,0.7304065427868504,61.308603870744726,0.9299431834001103
Austria,AUT,7,2,0.8701221096502773,61.308603870744726,0.9299431834001103
Austria,AUT,2,3,1.0160687614706718,61.308603870744726,0.9299431834001103
Austria,AUT,19,4,1.1648092996075574,61.308603870744726,0.9299431834001103
Austria,AUT,9,5,1.3106978937260745,61.308603870744726,0.9299431834001103
Austria,AUT,10,6,1.4501088488449212,61.308603870744726,0.9299431834001103
Austria,AUT,18,7,1.5798840815689938,61.308603870744726,0.9299431834001103
Austria,AUT,22,8,1.6959921753523655,61.308603870744726,0.9299431834001103
Austria,AUT,20,9,1.7953058732035874,61.308603870744726,0.9299431834001103
Austria,AUT,18,10,1.8796154368090434,61.308603870744726,0.9299431834001103
Austria,AUT,12,11,1.953543809933623,61.308603870744726,0.9299431834001103
Austria,AUT,10,12,2.021681120420033,61.308603870744726,0.9299431834001103
Austria,AUT,18,13,2.0858845635480474,61.308603870744726,0.9299431834001103
Austria,AUT,18,14,2.1439850528147075,61.308603870744726,0.9299431834001103
Austria,AUT,16,15,2.192587921080283,61.308603870744726,0.9299431834001103
Austria,AUT,23,16,2.2269620972094653,61.308603870744726,0.9299431834001103
Austria,AUT,30,17,2.242073821734389,61.308603870744726,0.9299431834001103
Austria,AUT,22,18,2.234386934224413,61.308603870744726,0.9299431834001103
Austria,AUT,24,19,2.2058844804026188,61.308603870744726,0.9299431834001103
Austria,AUT,18,20,2.1607518957331813,61.308603870744726,0.9299431834001103
Austria,AUT,13,21,2.1058291213938043,61.308603870744726,0.9299431834001103
Austria,AUT,18,22,2.0461175008775223,61.308603870744726,0.9299431834001103
Austria,AUT,16,23,1.9857783487946308,61.308603870744726,0.9299431834001103
Austria,AUT,9,24,1.9274849597785062,61.308603870744726,0.9299431834001103
Austria,AUT,17,25,1.8705500853437624,61.308603870744726,0.9299431834001103
Austria,AUT,21,26,1.8133418140634934,61.308603870744726,0.9299431834001103
Austria,AUT,12,27,1.7536373567441952,61.308603870744726,0.9299431834001103
Austria,AUT,9,28,1.6891524205747037,61.308603870744726,0.9299431834001103
Austria,AUT,18,29,1.6173808420103104,61.308603870744726,0.9299431834001103
Austria,AUT,21,30,1.5336357372122509,61.308603870744726,0.9299431834001103
Austria,AUT,19,31,1.4337824341769438,61.308603870744726,0.9299431834001103
Austria,AUT,12,32,1.3188189465478894,61.308603870744726,0.9299431834001103
Austria,AUT,8,33,1.1934898425864113,61.308603870744726,0.9299431834001103
Austria,AUT,6,34,1.0627719072340545,61.308603870744726,0.9299431834001103
Austria,AUT,6,35,0.9299431834001103,61.308603870744726,0.9299431834001103
Iran,IRN,4,0,0.02129446505708496,69.80417142638004,0.9063047560188959
Iran,IRN,4,1,0.028561485382919062,69.80417142638004,0.9063047560188959
Iran,IRN,3,2,0.03797670332417023,69.80417142638004,0.9063047560188959
Iran,IRN,7,3,0.05015035816835934,69.80417142638004,0.9063047560188959
Iran,IRN,8,4,0.06575381051238391,69.80417142638004,0.9063047560188959
Iran,IRN,9,5,0.08566704691549981,69.80417142638004,0.9063047560188959
Iran,IRN,11,6,0.1108697976973144,69.80417142638004,0.9063047560188959
Iran,IRN,12,7,0.14254677599253426,69.80417142638004,0.9063047560188959
Iran,IRN,11,8,0.1819888171498281,69.80417142638004,0.9063047560188959
Iran,IRN,15,9,0.23048296382517794,69.80417142638004,0.9063047560188959
Iran,IRN,15,10,0.28912468417607884,69.80417142638004,0.9063047560188959
Iran,IRN,17,11,0.3585195447971074,69.80417142638004,0.9063047560188959
Iran,IRN,21,12,0.4389106973399646,69.80417142638004,0.9063047560188959
Iran,IRN,49,13,0.5294759790281761,69.80417142638004,0.9063047560188959
Iran,IRN,43,14,0.6288001617625373,69.80417142638004,0.9063047560188959
Iran,IRN,54,15,0.7352734502155512,69.80417142638004,0.9063047560188959
Iran,IRN,63,16,0.8468562993099401,69.80417142638004,0.9063047560188959
Iran,IRN,75,17,0.9612693306024708,69.80417142638004,0.9063047560188959
Iran,IRN,85,18,1.0756614000906388,69.80417142638004,0.9063047560188959
Iran,IRN,97,19,1.1868802404624772,69.80417142638004,0.9063047560188959
Iran,IRN,113,20,1.2916693097593743,69.80417142638004,0.9063047560188959
Iran,IRN,129,21,1.3867236478466773,69.80417142638004,0.9063047560188959
Iran,IRN,135,22,1.46947601390668,69.80417142638004,0.9063047560188959
Iran,IRN,147,23,1.5379792993925463,69.80417142638004,0.9063047560188959
Iran,IRN,149,24,1.5919671127225576,69.80417142638004,0.9063047560188959
Iran,IRN,149,25,1.6320220506899923,69.80417142638004,0.9063047560188959
Iran,IRN,123,26,1.6604531362584527,69.80417142638004,0.9063047560188959
Iran,IRN,129,27,1.6800429600670281,69.80417142638004,0.9063047560188959
Iran,IRN,127,28,1.6934311202645802,69.80417142638004,0.9063047560188959
