country,iso3c,deaths,days_since_tenth_death_m50,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
Portugal,PRT,19,2,1.0742414713271122,115.13229225476675,0.9720013450882927
Portugal,PRT,12,3,1.02320213822357,115.13229225476675,0.9720013450882927
Portugal,PRT,9,4,0.9720013450882927,115.13229225476675,0.9720013450882927
Ecuador,ECU,18,0,5.244043601492527,136.85033624619294,4.4612702913910605
Ecuador,ECU,182,1,5.015897607089604,136.85033624619294,4.4612702913910605
Ecuador,ECU,7,2,4.747808728026054,136.85033624619294,4.4612702913910605
Ecuador,ECU,4,3,4.4612702913910605,136.85033624619294,4.4612702913910605
Canada,CAN,126,0,4.305982449966257,150.89954831328873,4.075516657853759
Canada,CAN,168,1,4.2572748627277806,150.89954831328873,4.075516657853759
Canada,CAN,124,2,4.209988057986982,150.89954831328873,4.075516657853759
Canada,CAN,185,3,4.164146595494716,150.89954831328873,4.075516657853759
Canada,CAN,125,4,4.119404849198512,150.89954831328873,4.075516657853759
Canada,CAN,167,5,4.075516657853759,150.89954831328873,4.075516657853759
Switzerland,CHE,8,0,1.9296873511411718,219.89311456161101,0.6496343550476442
Switzerland,CHE,0,1,1.7492874449607438,219.89311456161101,0.6496343550476442
Switzerland,CHE,22,2,1.5891685206305741,219.89311456161101,0.6496343550476442
Switzerland,CHE,11,3,1.4476913177513113,219.89311456161101,0.6496343550476442
Switzerland,CHE,10,4,1.3228152951589616,219.89311456161101,0.6496343550476442
Switzerland,CHE,5,5,1.2132511667349974,219.89311456161101,0.6496343550476442
Switzerland,CHE,13,6,1.117433572696107,219.89311456161101,0.6496343550476442
Switzerland,CHE,7,7,1.0320859209908089,219.89311456161101,0.6496343550476442
Switzerland,CHE,3,8,0.9540450018872096,219.89311456161101,0.6496343550476442
Switzerland,CHE,12,9,0.8800726465000888,219.89311456161101,0.6496343550476442
Switzerland,CHE,22,10,0.80605357958518975,219.89311456161101,0.6496343550476442
Switzerland,CHE,3,11,0.7287904057099523,219.89311456161101,0.6496343550476442
Switzerland,CHE,2,12,0.6496343550476442,219.89311456161101,0.6496343550476442
US,USA,2312,0,6.190240515934243,262.9362915234397,4.67491551907486
US,USA,1769,1,6.107333696532352,262.9362915234397,4.67491551907486
US,USA,2262,2,6.022492972631944,262.9362915234397,4.67491551907486
US,USA,1126,3,5.940954608350717,262.9362915234397,4.67491551907486
US,USA,1338,4,5.867714845589003,262.9362915234397,4.67491551907486
US,USA,2136,5,5.798977465116619,262.9362915234397,4.67491551907486
US,USA,2612,6,5.729235743030169,262.9362915234397,4.67491551907486
US,USA,2029,7,5.655455556014562,262.9362915234397,4.67491551907486
US,USA,1947,8,5.576553304637814,262.9362915234397,4.67491551907486
US,USA,1426,9,5.496774884411967,262.9362915234397,4.67491551907486
US,USA,1313,10,5.421266776106882,262.9362915234397,4.67491551907486
US,USA,1240,11,5.351796350287417,262.9362915234397,4.67491551907486
US,USA,2142,12,5.283091363871438,262.9362915234397,4.67491551907486
US,USA,2391,13,5.209148369416033,262.9362915234397,4.67491551907486
US,USA,2207,14,5.127646927203998,262.9362915234397,4.67491551907486
US,USA,1518,15,5.039157740909877,262.9362915234397,4.67491551907486
US,USA,1615,16,4.951658175192369,262.9362915234397,4.67491551907486
US,USA,731,17,4.873196366741944,262.9362915234397,4.67491551907486
US,USA,1156,18,4.809382098226812,262.9362915234397,4.67491551907486
US,USA,1674,19,4.757971355654707,262.9362915234397,4.67491551907486
US,USA,1763,20,4.714679791288839,262.9362915234397,4.67491551907486
US,USA,1779,21,4.67491551907486,262.9362915234397,4.67491551907486
Netherlands,NLD,94,0,4.431294676635035,325.5061739972971,1.9007673648318655
Netherlands,NLD,69,1,4.215279364407165,325.5061739972971,1.9007673648318655
Netherlands,NLD,26,2,4.000778838388875,325.5061739972971,1.9007673648318655
Netherlands,NLD,87,3,3.7890780928076793,325.5061739972971,1.9007673648318655
Netherlands,NLD,36,4,3.579800505777753,325.5061739972971,1.9007673648318655
Netherlands,NLD,85,5,3.3703109318963653,325.5061739972971,1.9007673648318655
Netherlands,NLD,71,6,3.157682952508625,325.5061739972971,1.9007673648318655
Netherlands,NLD,64,7,2.9413003485001425,325.5061739972971,1.9007673648318655
Netherlands,NLD,18,8,2.7256873345124912,325.5061739972971,1.9007673648318655
Netherlands,NLD,16,9,2.5152448855506626,325.5061739972971,1.9007673648318655
Netherlands,NLD,54,10,2.309013941944476,325.5061739972971,1.9007673648318655
Netherlands,NLD,52,11,2.104792568778546,325.5061739972971,1.9007673648318655
Netherlands,NLD,28,12,1.9007673648318655,325.5061739972971,1.9007673648318655
Sweden,SWE,99,0,6.9324166013393835,346.823172465955,7.316356018926316
Sweden,SWE,135,1,6.921510336847379,346.823172465955,7.316356018926316
Sweden,SWE,45,2,6.914090570480526,346.823172465955,7.316356018926316
Sweden,SWE,5,3,6.931085028356786,346.823172465955,7.316356018926316
Sweden,SWE,31,4,6.990045993632365,346.823172465955,7.316356018926316
Sweden,SWE,57,5,7.083359880710377,346.823172465955,7.316356018926316
Sweden,SWE,147,6,7.1969878630298165,346.823172465955,7.316356018926316
Sweden,SWE,69,7,7.316356018926316,346.823172465955,7.316356018926316
France,FRA,242,0,5.79340895847624,409.5130594398471,3.199280789571601
